[Wed, 25 Oct 2017 12:20:19 -0400] Producto: 17, Num Referencia: MLV503970226, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:21 -0400] Producto: 51, Num Referencia: MLV503970243, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:22 -0400] Producto: 70, Num Referencia: MLV503970244, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:24 -0400] Producto: 72, Num Referencia: MLV503970231, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:26 -0400] Producto: 73, Num Referencia: MLV503970246, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:28 -0400] Producto: 75, Num Referencia: MLV503970241, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:30 -0400] Producto: 77, Num Referencia: MLV503970250, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:31 -0400] Producto: 98, Num Referencia: MLV503970257, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:33 -0400] Producto: 99, Num Referencia: MLV503970258, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:35 -0400] Producto: 134, Num Referencia: MLV503970259, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:37 -0400] Producto: 137, Num Referencia: MLV503970256, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:39 -0400] Producto: 138, Num Referencia: MLV503970264, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:41 -0400] Producto: 139, Num Referencia: MLV503970268, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:43 -0400] Producto: 141, Num Referencia: MLV503970270, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:45 -0400] Producto: 142, Num Referencia: MLV503970272, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:46 -0400] Producto: 148, Num Referencia: MLV503970280, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:48 -0400] Producto: 151, Num Referencia: MLV503970260, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:50 -0400] Producto: 152, Num Referencia: MLV503970284, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:52 -0400] Producto: 153, Num Referencia: MLV503970288, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:53 -0400] Producto: 154, Num Referencia: MLV503970276, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:55 -0400] Producto: 155, Num Referencia: MLV503970286, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:57 -0400] Producto: 156, Num Referencia: MLV503970297, Evento: Registrado..., Usuario: 37
[Wed, 25 Oct 2017 12:20:59 -0400] Producto: 353, Num Referencia: MLV503970298, Evento: Registrado..., Usuario: 37
