[Wed, 25 Oct 2017 13:53:34 -0400] Producto: 355, Num Referencia: MLV503811070, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:53:36 -0400] Producto: 356, Num Referencia: MLV503811083, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:53:38 -0400] Producto: 357, Num Referencia: MLV503811092, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:53:41 -0400] Producto: 358, Num Referencia: MLV503811097, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:06 -0400] Producto: 360, Num Referencia: MLV503811107, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:13 -0400] Producto: 361, Num Referencia: MLV503811117, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:24 -0400] Producto: 362, Num Referencia: MLV503811122, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:30 -0400] Producto: 363, Num Referencia: MLV503811116, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:33 -0400] Producto: 364, Num Referencia: MLV503811124, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:37 -0400] Producto: 365, Num Referencia: MLV503811126, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:40 -0400] Producto: 366, Num Referencia: MLV503811139, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:43 -0400] Producto: 367, Num Referencia: MLV503811149, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:44 -0400] Producto: 368, Num Referencia: MLV503811136, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:51 -0400] Producto: 369, Num Referencia: MLV503811154, Evento: validation_error1, Usuario: 37
[Wed, 25 Oct 2017 13:54:54 -0400] Producto: 370, Num Referencia: MLV503811163, Evento: validation_error1, Usuario: 37
